Country	Onshore or Offshore	Assessment Unit Code	Assessment Unit Name	Field Type	Percent of Assessed Volume Allocated to this Area	Units for Minimum Field Size	Minimum Field Size	Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
Benin	offshore	NA	offshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	87.89919562	354.46379	840.0257925	395.5269635	1.958461473	8.248360939	21.2078008	9.499414952
Benin	NA	NA	total	oil	NA	NA	NA	1	15.74875733	63.04329003	148.1871876	70.31403464	64.26464385	269.2074058	689.1799424	309.4347317	2.012812472	8.669557102	23.75344309	10.24839115
Benin	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	87.89919562	354.46379	840.0257925	395.5269635	1.958461473	8.248360939	21.2078008	9.499414952
Bolivia	onshore	NA	onshore total	oil	NA	NA	NA	1	216.0412345	1039.690431	2769.242863	1203.030221	536.4346308	2635.3725	7586.362218	3149.858674	30.07443579	152.9131085	473.2636474	188.9131712
Bolivia	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	9116.232107	21052.52214	37392.86557	21863.12454	313.3331268	773.2488845	1527.458226	827.5487504
Bolivia	offshore	NA	offshore total	oil	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
Bolivia	offshore	NA	offshore total	gas	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
Bolivia	NA	NA	total	oil	NA	NA	NA	1	216.0412345	1039.690431	2769.242863	1203.030221	536.4346308	2635.3725	7586.362218	3149.858674	30.07443579	152.9131085	473.2636474	188.9131712
Bolivia	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	9116.232107	21052.52214	37392.86557	21863.12454	313.3331268	773.2488845	1527.458226	827.5487504
Brazil	onshore	NA	onshore total	oil	NA	NA	NA	1	18.47695079	56.68366618	119.2746147	61.30434842	26.35324232	90.14464415	214.0546803	101.2370981	0.798701997	3.132018499	8.367414075	3.66589723
Brazil	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	24.49833247	88.78805026	207.734421	99.03978544	0.516976434	2.077151557	5.374395164	2.400913307
Brazil	offshore	NA	offshore total	oil	NA	NA	NA	1	8041.587494	42177.19199	100728.484	46685.09009	11870.61044	62986.33933	161194.2124	71662.41145	575.9641196	3292.545586	9030.48179	3847.4931
Brazil	offshore	NA	offshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	22135.42553	108620.1159	268382.9425	122545.0984	658.2273655	3642.646015	10033.70502	4273.701096
Brazil	NA	NA	total	oil	NA	NA	NA	1	8060.064445	42233.87565	100847.7586	46746.39444	11896.96368	63076.48398	161408.2671	71763.64854	576.7628216	3295.677604	9038.849204	3851.158997
Brazil	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	22159.92386	108708.9039	268590.6769	122644.1382	658.7443419	3644.723166	10039.07942	4276.102009
Brunei	onshore	NA	onshore total	oil	NA	NA	NA	1	18.69928263	54.93595013	110.8886295	58.77884024	48.58503048	149.3804035	331.5133365	164.6842908	2.673685257	8.724507723	21.01069566	9.880090069
Brunei	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	78.67418622	250.4729041	552.6146818	274.6807514	3.166932557	10.68239741	25.71479054	12.0866517
Brunei	offshore	NA	offshore total	oil	NA	NA	NA	1	546.476014	1636.406131	3277.18102	1742.997548	1414.932587	4453.309728	9799.052336	4883.338253	78.30129248	259.8521389	621.8742852	292.9709649
Brunei	offshore	NA	offshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	1940.75231	6454.249132	14391.37428	7089.165428	78.54475525	275.4920523	667.5810309	311.8005503
Brunei	NA	NA	total	oil	NA	NA	NA	1	565.1752966	1691.342081	3388.06965	1801.776389	1463.517617	4602.690131	10130.56567	5048.022544	80.97497773	268.5766466	642.8849808	302.851055
Brunei	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	2019.426496	6704.722036	14943.98896	7363.84618	81.71168781	286.1744497	693.2958214	323.887202
Bulgaria	onshore	NA	onshore total	oil	NA	NA	NA	1	3.370401764	7.992535192	15.49186642	8.542654135	3.676121621	9.336172919	19.9406072	10.2544719	0.100703344	0.273011041	0.631911795	0.307523436
Bulgaria	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	5.131983645	16.1331	36.29825769	17.8074694	0.190886382	0.625127437	1.540234724	0.713043308
Bulgaria	offshore	NA	offshore total	oil	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
Bulgaria	offshore	NA	offshore total	gas	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
Bulgaria	NA	NA	total	oil	NA	NA	NA	1	3.370401764	7.992535192	15.49186642	8.542654135	3.676121621	9.336172919	19.9406072	10.2544719	0.100703344	0.273011041	0.631911795	0.307523436
Bulgaria	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	5.131983645	16.1331	36.29825769	17.8074694	0.190886382	0.625127437	1.540234724	0.713043308
Cambodia	onshore	NA	onshore total	oil	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
Cambodia	onshore	NA	onshore total	gas	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
Cambodia	offshore	NA	offshore total	oil	NA	NA	NA	1	27.96138225	106.1767042	278.512673	123.6218484	124.6673999	495.2694304	1392.602715	594.0689167	1.632584625	6.770937799	20.30052425	8.329570741
Cambodia	offshore	NA	offshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	352.6997245	1060.262718	2358.597251	1167.71115	6.52832525	20.52141375	49.65404075	23.31673131
Cambodia	NA	NA	total	oil	NA	NA	NA	1	27.96138225	106.1767042	278.512673	123.6218484	124.6673999	495.2694304	1392.602715	594.0689167	1.632584625	6.770937799	20.30052425	8.329570741
Cambodia	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	352.6997245	1060.262718	2358.597251	1167.71115	6.52832525	20.52141375	49.65404075	23.31673131
Cameroon	onshore	NA	onshore total	oil	NA	NA	NA	1	219.5514889	482.0967322	826.270593	497.7587179	347.8955169	806.1741413	1572.680271	861.6988011	11.42832082	28.57981628	60.47453373	31.27711306
Cameroon	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	427.786136	903.6478115	1570.956308	939.6721923	24.97489107	51.39322605	89.22615231	53.50387803
Cameroon	offshore	NA	offshore total	oil	NA	NA	NA	1	481.2549932	1011.270183	1667.242033	1035.662301	771.3910269	1726.849581	3282.290323	1834.416866	24.78289653	59.17587062	120.9468306	64.15300556
Cameroon	offshore	NA	offshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	948.8373832	1892.408854	3113.434848	1945.321912	56.22241397	110.6570018	182.8306245	113.9476795
Cameroon	NA	NA	total	oil	NA	NA	NA	1	700.8064821	1493.366916	2493.512626	1533.421019	1119.286544	2533.023722	4854.970595	2696.115667	36.21121735	87.7556869	181.4213643	95.43011861
Cameroon	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	1376.623519	2796.056665	4684.391156	2884.994105	81.19730505	162.0502278	272.0567768	167.4515576
Canada	onshore	NA	onshore total	oil	NA	NA	NA	1	384.8480933	933.0690942	1712.771191	977.8497422	276.2009235	712.7443408	1416.259122	761.8784752	15.40248441	41.93957502	91.45460887	46.16416562
Canada	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	6267.770274	14067.54489	25907.98632	14864.59718	141.6282301	344.2670136	698.5310497	372.5761067
Canada	offshore	NA	offshore total	oil	NA	NA	NA	1	442.8667037	1617.703292	3722.656255	1796.301566	1600.91778	6360.001592	17947.35946	7588.533579	90.01389099	371.5135248	1120.349043	456.3299043
Canada	offshore	NA	offshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	392.4604642	1193.280811	2577.100464	1303.982621	15.92893359	50.89513163	120.4358632	57.38637781
Canada	NA	NA	total	oil	NA	NA	NA	1	827.714797	2550.772386	5435.427446	2774.151308	1877.118703	7072.745932	19363.61858	8350.412054	105.4163754	413.4530998	1211.803652	502.4940699
Canada	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	6660.230738	15260.82571	28485.08679	16168.5798	157.5571637	395.1621453	818.9669129	429.9624846
Chile	onshore	NA	onshore total	oil	NA	NA	NA	1	73.38573529	233.5636522	496.2554637	253.1160617	216.8971109	687.1179675	1531.816454	756.4125959	1.612260963	5.334435674	12.91345779	6.050606813
Chile	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	1328.627723	3894.211279	7275.792347	4047.412769	31.64324017	95.24075225	190.6547505	101.1741421
Chile	offshore	NA	offshore total	oil	NA	NA	NA	1	24.46191176	77.85455074	165.4184879	84.37202056	72.29903695	229.0393225	510.6054846	252.137532	0.537420321	1.778145225	4.30448593	2.016868938
Chile	offshore	NA	offshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	442.8759077	1298.070426	2425.264116	1349.13759	10.54774672	31.74691742	63.5515835	33.72471404
Chile	NA	NA	total	oil	NA	NA	NA	1	97.84764705	311.418203	661.6739516	337.4880823	289.1961478	916.15729	2042.421938	1008.550128	2.149681284	7.112580899	17.21794372	8.067475751
Chile	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	1771.503631	5192.281705	9701.056463	5396.550359	42.19098689	126.9876697	254.206334	134.8988562
China	onshore	NA	onshore total	oil	NA	NA	NA	1	2735.989296	9365.852565	21150.11577	10350.53858	3925.40356	17119.68629	45104.11847	19855.32955	261.7317697	1196.261615	3399.701568	1432.724999
China	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	16002.87616	56358.59248	128206.385	62287.81619	661.9528316	2495.48705	6247.008699	2850.773203
China	offshore	NA	offshore total	oil	NA	NA	NA	1	588.0598942	1615.684269	3421.281164	1764.692782	329.9810366	939.8919771	2165.199763	1053.233616	18.133197	54.98185133	136.3083831	63.18588055
China	offshore	NA	offshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	592.5474008	2294.096665	5595.464751	2589.997089	24.38065135	98.16464016	258.9226419	114.1483879
China	NA	NA	total	oil	NA	NA	NA	1	3324.049191	10981.53683	24571.39693	12115.23136	4255.384596	18059.57827	47269.31823	20908.56316	279.8649667	1251.243466	3536.009951	1495.91088
China	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	16595.42356	58652.68915	133801.8498	64877.81328	686.3334829	2593.65169	6505.93134	2964.921591
Colombia	onshore	NA	onshore total	oil	NA	NA	NA	1	1286.161221	4556.068804	10846.09864	5119.613501	1095.375606	4328.732551	12137.58272	5174.88692	59.20365711	246.4962614	738.1664108	302.9006961
Colombia	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	1102.936949	4225.070442	11187.10888	4925.751043	36.58456229	154.5926414	454.95297	188.2479576
Colombia	offshore	NA	offshore total	oil	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
Colombia	offshore	NA	offshore total	gas	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
Colombia	NA	NA	total	oil	NA	NA	NA	1	1286.161221	4556.068804	10846.09864	5119.613501	1095.375606	4328.732551	12137.58272	5174.88692	59.20365711	246.4962614	738.1664108	302.9006961
Colombia	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	1102.936949	4225.070442	11187.10888	4925.751043	36.58456229	154.5926414	454.95297	188.2479576
Congo (Brazzaville)	onshore	NA	onshore total	oil	NA	NA	NA	1	64.40363241	169.5770297	303.6254436	175.3776784	133.3675258	369.5491276	740.5539268	394.7563397	6.146350884	17.92322953	39.26859239	19.70364708
Congo (Brazzaville)	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	39.65579003	131.4960892	281.059771	142.0026064	1.620746824	5.595709225	13.11940237	6.239988044
