Province Code	Province Name	Major Commodity	Cumulative Oil (MMBO)	Remaining Oil (MMBO)	Known Oil (MMBO)	Cumulative Gas (BCFG)	Remaining Gas (BCFG)	Known Gas (BCFG)	Cumulative NGL (MMBNGL)	Remaining NGL (MMBNGL)	Known NGL (MMBNGL)	Total Cumulative Petroleum (MMBOE)	Total Remaining Petroleum (MMBOE)	Total Known Petroleum (MMBOE)	Mean Undiscovered Oil (MMBO)	Mean Undiscovered Gas (BCFG)	Mean Undiscovered NGL (MMBNGL)	Total Mean Undiscovered Petroleum (MMBOE)	Oil Endowment (MMBO)	Gas Endowment (BCFG)	NGL Endowment (MMBNGL)	Total Petroleum Endowment (MMBOE)	"Discovery Maturity, Oil (%)"	"Discovery Maturity, Gas (%)"	"Discovery Maturity, NGL (%)"	"Discovery Maturity, Total Petroleum (%)"	Future Oil (MMBO)	Future Gas (BCFG)	Future NGL (MMBNGL)	Total Future Petroleum (MMBOE)
3817	Kutei Basin	Oil	2195	684	2879	8711	36762	45473	44	1230	1273	3691	8040	11731	5145	64757	2122	18060	8024	110230	3396	29791	36	41	38	39	5829	101519	3352	26100
3822	North Sumatra Basin	Gas	496	178	674	13977	11582	25559	583	343	926	3409	2451	5860	213	15123	181	2914	887	40682	1107	8774	76	63	84	67	391	26705	524	5365
3824	Northwest Java Basin	Oil	1555	1613	3168	1026	7028	8055	45	130	175	1771	2914	4685	658	7453	108	2007	3825	15508	282	6692	83	52	62	70	2271	14481	237	4922
3828	South Sumatra Basin	Oil	1842	587	2429	3125	7080	10204	4	53	56	2367	1819	4186	469	18250	239	3750	2898	28455	296	7936	84	36	19	53	1055	25330	292	5569
3910	Bonaparte Gulf Basin	Gas	123	393	517	0	13304	13304	0	435	435	123	3046	3169	1286	23492	1080	6281	1803	36796	1515	9450	29	36	29	34	1679	36796	1515	9327
3913	Browse Basin	Gas	19	27	46	0	17960	17960	0	200	200	19	3221	3239	1055	20093	934	5339	1101	38053	1134	8578	4	47	18	38	1083	38053	1134	8559
3916	Carnarvon Basin	Oil	16	19	35	32	70	102	0	0	0	21	31	52	0	0	0	0	35	102	0	52	100	100	NA	100	19	70	0	31
3930	Gippsland Basin	Oil	3077	784	3860	3501	6274	9775	155	546	701	3815	2375	6190	310	5658	339	1592	4170	15433	1040	7782	93	63	67	80	1093	11932	885	3967
3948	Northwest Shelf	Gas	473	647	1119	1840	54405	56245	117	875	991	896	10589	11485	2381	64711	3682	16848	3500	120956	4673	28333	32	47	21	41	3028	119116	4557	27437
4017	Vestford-Helgeland	Oil	76	2585	2660	0	15662	15662	0	702	702	76	5897	5973	6538	165201	8990	43062	9199	180863	9692	49035	29	9	7	12	9123	180863	9692	48959
4025	North Sea Graben	Oil	22467	21427	43895	31235	128603	159839	510	5461	5971	28183	48322	76505	13098	37745	1859	21248	56993	197584	7830	97753	77	81	76	78	34526	166348	7320	69570
4028	Mid-North Sea High	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4033	German-Polish Basin	Gas	0	0	0	6905	940	7846	0	0	0	1151	157	1308	0	0	0	0	0	7846	0	1308	100	100	NA	100	0	940	0	157
4035	Northwest German Basin	Gas	1867	413	2280	76285	65440	141726	7	21	28	14589	11340	25929	56	10814	23	1881	2336	152539	51	27810	98	93	55	93	468	76254	44	13221
4036	Anglo-Dutch Basin	Gas	432	159	592	40547	30880	71427	47	97	144	7237	5403	12640	88	14976	46	2630	679	86402	190	15270	87	83	76	83	247	45856	143	8033
4038	Munsterland Basin	Gas	0	0	0	121	31	152	0	0	0	20	5	25	0	0	0	0	0	152	0	25	NA	100	NA	100	0	31	0	5
4039	Southwest German Basin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4046	Bohemia	Gas	1	0	1	114	117	231	1	2	3	21	22	43	0	0	0	0	1	231	3	43	100	100	100	100	0	117	2	22
4047	North Carpathian Basin	Oil	649	286	935	8714	7618	16332	2	3	6	2104	1559	3663	391	5049	112	1344	1326	21381	118	5007	71	76	5	73	677	12667	115	2903
4048	Pannonian Basin	Oil	1567	623	2190	6534	7308	13842	35	51	86	2691	1892	4583	359	4143	128	1178	2550	17986	214	5761	86	77	40	80	982	11452	179	3070
4057	Transylvanian Basin	Gas	0	0	0	21194	9537	30731	0	0	0	3532	1589	5122	0	2083	6	354	0	32814	6	5475	NA	94	0	94	0	11620	6	1943
4060	Po Basin	Gas	91	254	346	9527	9360	18886	27	5	32	1706	1820	3526	360	17964	122	3476	706	36850	154	7002	49	51	21	50	615	27324	127	5296
4061	Carpathian-Balkanian Basin	Oil	4083	1825	5908	3126	4139	7265	20	56	77	4624	2571	7195	1013	3179	116	1659	6921	10445	193	8854	85	70	40	81	2838	7319	173	4230
4068	Provence Basin	Gas	0	0	0	0	0	0	0	0	0	0	0	0	388	51210	2265	11188	388	51210	2265	11188	0	0	0	0	388	51210	2265	11188
5200	East Greenland Rift Basins	Oil	0	0	0	0	0	0	0	0	0	0	0	0	47148	80709	4170	64769	47148	80709	4170	64769	0	0	0	0	47148	80709	4170	64769
5215	Labrador-Newfoundland Shelf	Oil	0	1582	1582	0	6630	6630	0	188	188	0	2875	2875	1796	8893	514	3792	3378	15522	702	6667	47	43	27	48	3378	15522	702	6667
