Country	Field Type	Country Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
Iran	oil	1	16288.36921	49835.78274	100543.6561	53114.37368	22482.60363	74329.68815	166930.444	81939.74848	942.4333304	3323.813479	8136.951123	3774.063117
Iran	gas	1	NA	NA	NA	NA	76754.97078	219129.1662	432801.2242	232627.6052	3087.446205	9312.702878	20159.28793	10180.87792
Iraq	oil	1	14152.73308	42653.43439	83926.69163	45098.75332	14784.91868	46868.20517	102013.566	51165.59793	506.4538202	1694.232971	3947.799899	1891.044225
Iraq	gas	1	NA	NA	NA	NA	21960.58457	65793.37896	124951.1943	68840.42855	1348.984718	4099.116803	8071.434995	4334.23259
Italy	oil	1	41.45444713	302.8960899	937.8037593	371.1439606	86.18552507	644.2061093	2124.028317	813.8930134	4.80051924	36.87400949	130.6651383	48.16456024
Italy	gas	1	NA	NA	NA	NA	6204.961244	23501.1298	59703.91465	26458.0112	15.44560765	402.9817581	1537.138655	515.5216318
Joint Thailand/Malaysia	oil	1	25.76034992	83.11358773	182.740284	91.3267239	114.9043335	387.6887088	931.1765375	438.078304	1.502503647	5.279639569	13.67266279	6.12541728
Joint Thailand/Malaysia	gas	1	NA	NA	NA	NA	492.332231	1538.753383	3157.174088	1652.460844	9.175257187	29.87800604	67.56812527	33.06252221
Jordan	oil	1	0	0	0	0	0	0	0	0	0	0	0	0
Jordan	gas	1	NA	NA	NA	NA	795.5121018	2345.104582	4267.502089	2422.488542	62.62369142	186.2214018	347.5810677	193.7102311
Kazakhstan	oil	1	6212.01253	19108.87325	42906.13772	21094.00712	10751.08916	34185.35967	81465.79084	38609.4081	590.1396847	1987.366824	5069.087878	2292.814686
Kazakhstan	gas	1	NA	NA	NA	NA	8922.546476	30465.93667	70529.7169	33646.00863	298.0933923	1114.93077	2932.702078	1292.90634
Kuwait	oil	1	1215.402304	3626.666115	7156.861388	3839.855423	1142.689941	3561.431315	7730.974965	3887.341743	28.40080862	92.41202851	209.4909611	102.15164
Kuwait	gas	1	NA	NA	NA	NA	719.597737	1922.532786	3680.288001	2027.595152	29.12306375	82.04370413	173.5589397	89.16107922
Libya	oil	1	2922.776846	7417.94312	15348.3243	8270.587419	2300.134425	6846.273598	22182.55009	9531.973438	117.4128643	332.221453	1151.017981	484.9901458
Libya	gas	1	NA	NA	NA	NA	3410.302192	8592.601259	24991.49513	11576.70763	118.2948177	328.5154621	963.0397068	433.7484833
Malaysia	oil	1	890.6455272	2811.139572	5926.966246	3041.827849	2723.280859	8989.06687	20834.1069	10027.3565	101.7915809	349.7981384	866.8593331	399.1416294
Malaysia	gas	1	NA	NA	NA	NA	12622.95578	37355.2962	76363.33682	40146.69254	263.8106308	837.7146526	1909.234219	930.357435
Malta	oil	1	8.626700043	32.70184793	75.66636207	36.27109875	16.17684341	63.28692791	160.7430819	72.58798965	0.234614541	0.937940838	2.463420868	1.088859621
Malta	gas	1	NA	NA	NA	NA	26.41987794	118.066842	286.304904	132.5857378	0.250404608	1.143450115	3.017969753	1.324527127
Mauritania	oil	1	4.803653664	37.09274712	133.2029849	48.72930669	10.12387424	79.04036343	299.9967991	107.0993992	0.579352614	4.611040192	18.42400162	6.418422476
Mauritania	gas	1	NA	NA	NA	NA	25.6822684	128.4511479	395.6704174	158.2487763	1.072774639	5.495306171	18.0614223	6.971382777
Mexico	oil	1	5974.661958	18602.7655	40240.2924	20568.59472	9877.242294	31856.58805	75964.43199	36427.4943	550.4325752	1855.03623	4793.619411	2186.374915
Mexico	gas	1	NA	NA	NA	NA	2029.606689	10906.49807	30009.75873	12844.18021	83.902468	465.7186799	1375.35705	564.4629845
Morocco	oil	0.4	0	0	15.93456601	3.792153596	0	0	61.46583535	14.19992396	0	0	3.751713315	0.853827213
Morocco	gas	0.4	NA	NA	NA	NA	0	0	377.1011123	91.56873922	0	0	18.58550829	4.400071531
Myanmar	oil	1	104.4580715	629.0557138	1701.299012	730.4624482	359.8253161	2247.020996	6681.16058	2710.350992	20.45095502	130.5519698	414.8624731	162.6782684
Myanmar	gas	1	NA	NA	NA	NA	5673.265852	21872.1863	51625.94747	24433.97723	135.8291774	562.8159383	1461.809948	651.015193
Namibia	oil	1	16.68442401	66.84384139	239.8176067	89.22658838	32.87806614	136.3952736	512.550428	186.8561719	1.818685471	7.933670859	31.20448771	11.11697805
Namibia	gas	1	NA	NA	NA	NA	252.4672078	1136.130855	3180.703336	1346.728178	10.35808632	48.47462933	145.543036	59.24361646
Netherlands	oil	1	112.8210926	294.6809488	601.5676639	319.0290225	81.46659256	225.181613	501.6964186	249.9183015	4.246179286	12.40637655	29.67693629	14.0609752
