Country	Field Type	Country Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
South Africa	oil	1	6.789274808	26.04260978	93.61595775	34.85389614	13.74649904	55.92680442	210.2126102	76.69448958	0.763058288	3.277284186	12.8890869	4.595197138
South Africa	gas	1	NA	NA	NA	NA	377.6990068	1697.109611	4733.451407	2008.576922	15.49537771	72.40641756	216.6381753	88.35885203
Spain	oil	0.6	0	43.2571835	279.7698087	77.65874533	0	90.79506617	629.7747841	171.2553387	0	5.215484462	38.51587478	10.28525525
Spain	gas	0.6	NA	NA	NA	NA	0	14422.59811	51985.70063	17623.91882	0	600.1453392	2383.059637	774.7291859
Sudan	oil	1	245.8972171	759.3043443	1354.044183	771.158464	546.3815778	1722.188562	3332.879954	1794.07589	32.38567382	100.0699766	193.7682884	104.5479171
Sudan	gas	1	NA	NA	NA	NA	4062.922061	13408.6984	24438.42125	13697.04685	234.2231064	779.2436146	1492.366231	809.4076652
Suriname	oil	1	2336.894355	11907.97995	27942.12515	13029.27637	4342.493066	22924.90799	58416.61132	25950.63297	241.567659	1331.475248	3688.40709	1555.403494
Suriname	gas	1	NA	NA	NA	NA	1548.177578	8572.550369	23951.50994	10052.35105	63.96326354	364.3773339	1084.114211	439.7059854
Syria	oil	1	408.8851382	1240.789387	2437.670974	1310.884161	447.9110281	1432.916068	3128.166686	1565.151493	17.90426639	60.45064632	142.4017111	67.73519732
Syria	gas	1	NA	NA	NA	NA	1141.494757	3400.414312	6302.351748	3531.911491	84.33164084	252.8066385	479.522553	264.2715099
Thailand	oil	1	14.957755	82.99380598	212.8263575	95.24259049	54.30677257	250.4795461	663.9186768	291.527518	1.10830127	7.766166072	23.69933433	9.517670019
Thailand	gas	1	NA	NA	NA	NA	498.6078647	4076.340686	9028.337624	4382.705653	7.185680478	48.17602895	123.570353	54.98418226
The Gambia	oil	1	0.619826279	4.786160919	17.18748192	6.287652476	1.306306354	10.19875657	38.70926439	13.81927731	0.074755176	0.594972928	2.377290531	0.828183545
The Gambia	gas	1	NA	NA	NA	NA	3.313841084	16.57434167	51.05424741	20.41919694	0.138422534	0.709071764	2.330506104	0.899533262
Togo	oil	1	6.749467428	27.01855287	63.50879468	30.13458627	27.54199022	115.3746025	295.3628325	132.614885	0.862633917	3.715524472	10.18004704	4.392167636
Togo	gas	1	NA	NA	NA	NA	37.67108384	151.9130529	360.0110539	169.5115558	0.839340631	3.535011831	9.089057484	4.071177837
Trinidad and Tobago	oil	1	99.35143818	379.3793919	2285.073601	758.3441687	185.9415036	745.8652131	4999.734858	1594.362464	10.44694814	43.34169053	308.615071	95.78702949
Trinidad and Tobago	gas	1	NA	NA	NA	NA	8798.03843	26492.591	61193.43081	30196.08589	308.0863207	920.3140667	2309.099426	1082.324117
Tunisia	oil	1	478.2619744	1938.382271	4686.21465	2180.488817	712.8859223	2945.470912	7689.480872	3410.621926	22.68540927	98.51525549	277.7123845	117.5746092
