Province Code	Province Name	Field Type	Province Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
4035	Northwest German Basin	gas	1	NA	NA	NA	NA	4271.592855	10361.63151	18384.52509	10763.87883	7.575940968	20.43189555	45.65115271	22.72217635
4036	Anglo-Dutch Basin	oil	1	21.75400037	78.83484611	183.6465051	87.73968831	11.94777597	41.83502467	103.0350338	47.59927214	0.440033195	1.73917522	4.717196075	2.049624833
4036	Anglo-Dutch Basin	gas	1	NA	NA	NA	NA	3590.756553	13512.25592	30964.98016	14928.27201	9.754085747	38.26338877	97.83038314	44.02094265
4047	North Carpathian Basin	oil	1	123.3176533	358.8832084	756.2050148	390.7651764	330.776963	1016.008074	2328.391268	1134.70688	18.34224205	59.20938785	147.1324048	67.97699681
4047	North Carpathian Basin	gas	1	NA	NA	NA	NA	1328.127188	3593.505276	7522.914408	3913.903164	12.85732863	39.19880142	91.45778818	44.0303977
4048	Pannonian Basin	oil	1	153.354606	338.8261655	631.4414474	359.4005148	132.4120805	343.6956776	790.1573344	386.8388262	4.737315404	12.94307666	31.77172994	14.90490842
4048	Pannonian Basin	gas	1	NA	NA	NA	NA	1555.848632	3562.806103	6582.053504	3756.413646	38.62893911	102.7853654	221.0407983	112.8376354
4057	Transylvanian Basin	oil	1	0	0	0	0	0	0	0	0	0	0	0	0
4057	Transylvanian Basin	gas	1	NA	NA	NA	NA	460.1635569	1845.673376	4489.781982	2083.094598	1.352275356	5.561426974	14.80116095	6.479038286
4060	Po Basin	oil	1	38.78116211	293.2438434	915.707462	360.4402376	81.19739169	625.4799439	2077.189927	792.4756211	4.679924925	36.40461799	129.4153398	47.61623515
4060	Po Basin	gas	1	NA	NA	NA	NA	6518.777833	15997.61185	31389.12144	17171.68926	15.92721043	61.24578365	178.1986207	74.1778767
4061	Carpathian-Balkanian Basin	oil	1	353.7848419	928.8853161	1936.903374	1012.85086	345.0339226	985.5171842	2254.187207	1103.451423	9.534487424	28.82505452	71.19079271	33.0907736
4061	Carpathian-Balkanian Basin	gas	1	NA	NA	NA	NA	535.1261855	1877.736384	4277.010285	2075.842702	19.97567053	72.72104089	181.2029111	83.06253098
4068	Provence Basin	oil	0.6	0	216.2859175	1398.849043	388.2937267	0	453.9753309	3148.873921	856.2766936	0	26.07742231	192.5793739	51.42627623
4068	Provence Basin	gas	0.6	NA	NA	NA	NA	0	41207.42318	148530.5732	50354.05378	0	1714.700969	6808.741819	2213.51196
5200	East Greenland Rift Basins	oil	0.7	0	49683.71194	111814.9417	47147.76135	0	46606.73553	118596.9413	47147.98308	0	2642.282551	7499.341833	2826.542949
5200	East Greenland Rift Basins	gas	0.7	NA	NA	NA	NA	0	34430.205	81179.02944	33560.8148	0	1297.394136	3458.103847	1343.243311
5215	Labrador-Newfoundland Shelf	oil	1	442.8667037	1617.703292	3722.656255	1796.301566	1600.91778	6360.001592	17947.35946	7588.533579	90.01389099	371.5135248	1120.349043	456.3299043
5215	Labrador-Newfoundland Shelf	gas	1	NA	NA	NA	NA	392.4604642	1193.280811	2577.100464	1303.982621	15.92893359	50.89513163	120.4358632	57.38637781
5243	Alberta Basin	oil	1	324.0051897	784.8131953	1416.33319	817.964082	249.9666036	644.0720279	1265.437607	685.7253309	13.82517835	37.56501863	81.09682872	41.20236322
