Total Petroleum System Code	Total Petroleum System Name	Major Commodity	Cumulative Oil (MMBO)	Remaining Oil (MMBO)	Known Oil (MMBO)	Cumulative Gas (BCFG)	Remaining Gas (BCFG)	Known Gas (BCFG)	Cumulative NGL (MMBNGL)	Remaining NGL (MMBNGL)	Known NGL (MMBNGL)	Total Cumulative Petroleum (MMBOE)	Total Remaining Petroleum (MMBOE)	Total Known Petroleum (MMBOE)	Mean Undiscovered Oil (MMBO)	Mean Undiscovered Gas (BCFG)	Mean Undiscovered NGL (MMBNGL)	Total Mean Undiscovered Petroleum (MMBOE)	Oil Endowment (MMBO)	Gas Endowment (BCFG)	NGL Endowment (MMBNGL)	Total Petroleum Endowment (MMBOE)	"Discovery Maturity, Oil (%)"	"Discovery Maturity, Gas (%)"	"Discovery Maturity, NGL (%)"	"Discovery Maturity, Total Petroleum (%)"	Future Oil (MMBO)	Future Gas (BCFG)	Future NGL (MMBNGL)	Total Future Petroleum (MMBOE)	
404801	Greater Hungarian Plain Neogene	Oil	731	358	1089	5436	4221	9657	4	20	24	1640	1082	2722	196	2395	74	669	1285	12052	97	3392	85	80	24	80	555	6616	94	1751
404802	Zala-Drava-Sava Mesozoic/Neogene	Oil	836	265	1101	1082	2847	3929	31	31	63	1048	771	1818	114	1151	36	342	1215	5080	98	2160	91	77	64	84	379	3998	67	1112
404803	Danube Neogene	Gas	0	0	0	7	240	247	0	0	0	1	40	41	0	146	3	27	0	393	3	68	NA	63	0	60	0	386	3	67
404804	Transcarpathian Neogene	Gas	0	0	0	0	261	261	0	0	0	0	43	43	0	112	2	21	0	373	2	64	NA	70	0	67	0	373	2	64
404805	Central Carpathian Paleogene	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
404806	Hungarian Paleogene	Oil	10	1	11	15	1	16	0	0	0	12	1	14	49	339	13	118	60	355	13	132	18	4	0	10	50	340	13	120
405701	Transylvanian Composite	Gas	0	0	0	21194	9537	30731	0	0	0	3532	1589	5122	0	2083	6	354	0	32814	6	5475	NA	94	0	94	0	11620	6	1943
406001	Porto Garibaldi	Gas	13	0	14	9373	9102	18475	0	5	5	1576	1522	3098	0	16267	34	2745	14	34741	40	5843	100	53	13	53	0	25369	39	4268
406002	Meride/Riva di Solto	Oil	78	254	332	154	257	412	27	1	27	130	297	428	360	1698	87	731	692	2109	114	1158	48	20	24	37	614	1955	88	1028
406101	Moesian Platform Composite	Oil	1251	542	1793	1546	671	2217	15	51	66	1523	705	2228	171	561	20	285	1963	2778	86	2513	91	80	76	89	713	1232	71	990
406102	Dysodile Schist-Tertiary	Oil	2832	1283	4115	1580	3468	5048	6	5	11	3101	1866	4968	842	2618	96	1374	4957	7666	107	6342	83	66	10	78	2125	6086	101	3240
406801	Pre-Messinian	Gas	0	0	0	0	0	0	0	0	0	0	0	0	388	51210	2265	11188	388	51210	2265	11188	0	0	0	0	388	51210	2265	11188
520001	Permian/Upper Jurassic Composite	Oil	0	0	0	0	0	0	0	0	0	0	0	0	47148	80709	4170	64769	47148	80709	4170	64769	0	0	0	0	47148	80709	4170	64769
521501	Egret-Hibernia	Oil	0	1582	1582	0	2406	2406	0	81	81	0	2063	2063	1796	8893	514	3792	3378	11298	595	5855	47	21	14	35	3378	11298	595	5855
521502	Mesozoic Composite	NA	0	0	0	0	4224	4224	0	107	107	0	811	811	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
524301	Keg River-Keg River	Oil	835	176	1011	4589	2484	7073	37	63	100	1636	653	2290	84	1776	39	419	1095	8849	139	2708	92	80	72	85	260	4260	102	1072
524302	Duvernay-Leduc	Oil	8153	1306	9459	9050	5307	14357	642	384	1025	10303	2574	12877	501	3224	133	1172	9960	17581	1159	14049	95	82	88	92	1807	8531	517	3746
524303	Exshaw-Rundle	Oil	1292	435	1728	14851	6717	21568	626	210	836	4393	1765	6158	126	2663	60	629	1854	24232	895	6787	93	89	93	91	561	9380	270	2394
524304	Combined Triassic/Jurassic	Oil	1012	284	1296	4584	5996	10580	176	173	350	1952	1457	3409	96	2166	56	514	1393	12747	406	3923	93	83	86	87	380	8163	229	1970
524305	Mannville-Upper Mannville	Gas	0	0	0	17171	13560	30731	217	230	447	3079	2490	5569	0	4597	92	858	0	35328	539	6427	NA	87	83	87	0	18157	322	3348
524306	Second White Specks-Cardium	Oil	2146	543	2688	16010	10439	26449	200	166	365	5014	2448	7462	36	1126	34	257	2724	27574	400	7719	99	96	91	97	578	11565	200	2706
524401	Yeoman	Oil	1	0	1	0	0	0	0	0	0	1	0	1	5	4	0	6	6	4	0	7	15	3	0	13	6	4	0	7
524402	Brightholme	Oil	11	4	14	8	3	11	0	0	0	12	4	16	8	5	0	9	22	16	0	25	66	67	0	65	11	8	0	13
524403	Bakken	Oil	5	2	7	0	0	0	0	0	0	5	2	7	11	3	0	12	18	4	0	19	40	9	0	38	13	3	0	14
524404	Lodgepole	Oil	2239	539	2778	728	166	893	32	4	37	2393	571	2964	111	63	4	126	2889	956	41	3089	96	93	90	96	650	228	8	696
530501	Pimienta-Tamabra	Oil	22139	22273	44412	17609	33213	50822	51	45	95	25124	27853	52977	20569	49272	2751	31531	64980	100094	2846	84508	68	51	3	63	42841	82485	2795	59384
602101	Cenomanian-Turonian	Oil	17	46	63	0	0	0	0	0	0	17	46	63	15247	42058	2330	24586	15310	42058	2330	24649	0	0	0	0	15293	42058	2330	24632
