Province Code	Province Name	Onshore or Offshore	Assessment Unit Code	Assessment Unit Name	Field Type	Percent of Assessed Volume Allocated to this Area	Units for Minimum Field Size	Minimum Field Size	Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
1112	South Caspian Basin	onshore	11120103	Gograndag-Okarem Zone and Adjacent Shelf	gas	14.5	BCFG	30	1	NA	NA	NA	NA	1082.145435	3877.945364	7994.353527	4129.896483	44.32248399	165.8046676	372.7434729	181.8040197
1112	South Caspian Basin	offshore	11120103	Gograndag-Okarem Zone and Adjacent Shelf	oil	85.5	MMBO	5	1	1069.630415	3828.962559	7899.439507	4072.926266	3998.431469	14848.82503	33416.87589	16273.31573	224.0992114	866.3877698	2104.044124	976.2896121
1112	South Caspian Basin	offshore	11120103	Gograndag-Okarem Zone and Adjacent Shelf	gas	85.5	BCFG	30	1	NA	NA	NA	NA	6380.926532	22866.50542	47139.11908	24352.14823	261.3498194	977.6757989	2197.901168	1072.016806
1112	South Caspian Basin	offshore	11120104	Central Offshore	oil	100	MMBO	10	1	1535.575272	5968.761454	12681.68486	6409.976075	5821.010852	23141.96658	53698.66285	25639.38979	326.2108188	1346.968694	3378.268137	1535.936817
1112	South Caspian Basin	offshore	11120104	Central Offshore	gas	100	BCFG	60	1	NA	NA	NA	NA	15569.04277	54167.74198	108216.5969	57196.66138	640.4759893	2318.382957	5047.499025	2515.543322
1112	South Caspian Basin	onshore	11120105	Iran Onshore/Nearshore	oil	10	MMBO	5	0.9	0	14.10749251	52.36357895	18.53505782	0	54.66633861	216.4045905	74.25553971	0	3.183023791	13.34005137	4.458267735
1112	South Caspian Basin	onshore	11120105	Iran Onshore/Nearshore	gas	10	BCFG	30	0.9	NA	NA	NA	NA	0	185.6187626	563.455723	221.7724436	0	7.901507408	25.85255642	9.766152273
1112	South Caspian Basin	offshore	11120105	Iran Onshore/Nearshore	oil	90	MMBO	5	0.9	0	126.9674326	471.2722105	166.8155204	0	491.9970475	1947.641314	668.2998574	0	28.64721412	120.0604624	40.12440961
1112	South Caspian Basin	offshore	11120105	Iran Onshore/Nearshore	gas	90	BCFG	30	0.9	NA	NA	NA	NA	0	1670.568863	5071.101507	1995.951993	0	71.11356667	232.6730077	87.89537046
1150	North Ustyurt Basin	onshore	11500101	Mesozoic Sandstone Reservoirs	oil	40	MMBO	3	1	52.69628588	267.7236893	797.4377997	325.7533575	5.633777049	28.99959726	89.30328167	35.78250288	0.105380565	0.563172142	1.839227704	0.715257009
1150	North Ustyurt Basin	onshore	11500101	Mesozoic Sandstone Reservoirs	gas	100	BCFG	18	1	NA	NA	NA	NA	0	0	0	0	0	0	0	0
1150	North Ustyurt Basin	offshore	11500101	Mesozoic Sandstone Reservoirs	oil	60	MMBO	3	1	79.04442882	401.5855339	1196.1567	488.6300363	8.450665574	43.49939588	133.9549225	53.67375431	0.158070848	0.844758213	2.758841557	1.072885514
