Assessment Unit Code	Assessment Unit Name	Field Type	Units for Minimum Field Size	Minimum Field Size	Assessment Unit Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)	Units for Largest	Largest F95	Largest F50	Largest F5	Largest Mean
11120104	Central Offshore	oil	MMBO	10	1	1535.575272	5968.761454	12681.68486	6409.976075	5821.010852	23141.96658	53698.66285	25639.38979	326.2108188	1346.968694	3378.268137	1535.936817	MMBO	340.5147897	1126.371581	3457.215381	1396.836953
11120104	Central Offshore	gas	BCFG	60	1	NA	NA	NA	NA	15569.04277	54167.74198	108216.5969	57196.66138	640.4759893	2318.382957	5047.499025	2515.543322	BCFG	2802.71128	8428.734156	22769.36051	9982.353182
11120105	Iran Onshore/Nearshore	oil	MMBO	5	0.9	0	141.0749251	523.6357895	185.3505782	0	546.6633861	2164.045905	742.5553971	0	31.83023791	133.4005137	44.58267735	MMBO	15.38754059	66.40776862	286.1682707	96.98616277
11120105	Iran Onshore/Nearshore	gas	BCFG	30	0.9	NA	NA	NA	NA	0	1856.187626	5634.55723	2217.724436	0	79.01507408	258.5255642	97.66152273	BCFG	162.5652244	615.5972899	2238.668726	822.9108412
11500101	Mesozoic Sandstone Reservoirs	oil	MMBO	3	1	131.7407147	669.3092232	1993.594499	814.3833939	14.08444262	72.49899314	223.2582042	89.45625719	0.263451413	1.407930355	4.598069261	1.788142523	MMBO	45.10575469	204.8904659	897.2452094	298.4702733
11500101	Mesozoic Sandstone Reservoirs	gas	BCFG	18	1	NA	NA	NA	NA	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
11500201	Jurassic-Tertiary Reservoirs	oil	MMBO	3	1	36.1761613	123.5911055	295.4766881	139.3314042	26.80672365	95.83665208	247.9812892	111.4158645	1.49820424	5.58649108	15.58647153	6.690950176	MMBO	11.42742128	32.58192201	104.9503812	41.51092464
11500201	Jurassic-Tertiary Reservoirs	gas	BCFG	18	1	NA	NA	NA	NA	679.9822735	1900.051381	3985.657453	2068.863335	18.74929076	55.89588937	127.3548897	62.165461	BCFG	123.2400657	306.9975445	810.3663247	362.1325568
11500301	Upper Paleozoic Carbonates	oil	MMBO	10	0.8	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
11500301	Upper Paleozoic Carbonates	gas	BCFG	60	0.8	NA	NA	NA	NA	0	7671.091776	21273.9419	8500.286006	0	326.1526155	972.7801567	373.5842553	BCFG	528.9072801	1882.191398	6388.431472	2428.920189
11540101	Northern and Western Areas	oil	MMBO	3	1	22.28849923	66.52685592	129.0282462	70.0789686	82.81340909	258.7596024	551.0620787	280.3532163	4.607036123	15.08077051	34.91529327	16.80378825	MMBO	6.396979347	14.36856621	41.38876802	17.7525016
11540101	Northern and Western Areas	gas	BCFG	18	1	NA	NA	NA	NA	3727.294829	8873.052957	15881.6197	9266.660052	53.36749134	133.9151691	270.3786899	144.3221355	BCFG	317.8684422	667.3557576	1301.560205	719.4147988
11540102	Karabil-Badkhyz (Southern Area)	oil	MMBO	3	1	31.20721051	82.57241762	160.7482394	87.57145988	57.39522864	160.0316211	342.5958055	174.7546354	3.154295995	9.393332217	21.49026227	10.47262643	MMBO	8.269307796	18.89111254	53.19714093	23.08887485
11540102	Karabil-Badkhyz (Southern Area)	gas	BCFG	18	1	NA	NA	NA	NA	3471.904821	7144.60514	12534.39832	7482.270507	48.86579793	108.2367049	213.9194064	116.4951723	BCFG	354.870842	749.657633	1622.570595	834.9519133
11540103	Murgab Depression Suprasalt	oil	MMBO	3	1	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
11540103	Murgab Depression Suprasalt	gas	BCFG	18	1	NA	NA	NA	NA	1232.045741	4211.215887	9670.299703	4684.104629	8.213900417	28.79365117	70.68298415	32.80072557	BCFG	221.0577829	588.855796	1491.832593	682.6832796
11540104	Murgab Depression Subsalt	oil	MMBO	5	1	39.20548761	103.8008611	216.7868935	112.6237081	358.3324249	1007.46992	2304.667574	1126.790294	19.68490672	59.22960171	145.4338141	67.5672407	MMBO	22.99556788	47.92693478	106.6136274	53.98022146
11540104	Murgab Depression Subsalt	gas	BCFG	30	1	NA	NA	NA	NA	37904.91457	130354.9828	279232.934	140635.4572	912.5360918	3236.700721	7572.408895	3607.01734	BCFG	7307.484906	27513.74468	92099.82676	35322.53542
11740101	Upper Jurassic-Cretaceous Sandstones	oil	MMBO	5	1	13761.07887	39987.31053	81362.56757	42947.40725	28026.26423	85489.74313	190828.6128	94429.84821	1552.157405	4978.637774	12082.47164	5661.785706	MMBO	828.7987638	1630.096568	2143.314661	1576.753592
11740101	Upper Jurassic-Cretaceous Sandstones	gas	BCFG	30	1	NA	NA	NA	NA	697.7461939	2234.397905	5228.735855	2504.178204	23.07026635	76.53368559	189.5333561	87.55058588	BCFG	147.4869575	474.4428135	1712.158243	631.7170085
11740201	Pre-Upper Jurassic	oil	MMBO	5	1	2324.532934	6828.094853	14724.46116	7473.653477	1286.419097	4042.731241	9821.099189	4597.441876	70.61993297	236.2450505	613.4579126	275.6959069	MMBO	178.9707567	434.0368034	744.3727086	445.5728641
11740201	Pre-Upper Jurassic	gas	BCFG	30	1	NA	NA	NA	NA	271.1392397	830.2494892	1859.922012	918.9202953	10.88297624	35.53668275	86.41122878	40.41187409	BCFG	79.12751169	190.2033344	541.0593229	232.5665785
11740301	Northern West Siberian Onshore Gas	oil	MMBO	20	1	445.9895639	1212.57599	2448.790372	1304.322911	2306.993378	6543.671443	14193.37079	7172.396885	127.9722556	381.7555286	901.9325128	430.2810946	MMBO	100.9119038	214.3962466	495.909178	244.1434166
11740301	Northern West Siberian Onshore Gas	gas	BCFG	120	1	NA	NA	NA	NA	33652.61692	116315.5888	267853.3066	129435.942	787.8577271	2811.313464	7133.913649	3238.160527	BCFG	4989.978317	16166.30145	41583.20061	18754.48964
11740302	South Kara Sea Offshore	oil	MMBO	20	1	485.0024549	3030.707905	8172.716084	3509.793552	2551.599575	16234.78652	46717.48119	19317.67999	144.4647165	946.2410615	2913.224739	1159.519717	MMBO	163.6695312	687.0765611	2390.275467	890.6122786
11740302	South Kara Sea Offshore	gas	BCFG	120	1	NA	NA	NA	NA	104320.517	350275.278	778939.459	384557.3355	2416.65728	8503.305725	20509.59574	9579.361713	BCFG	19862.67473	70032.22435	223360.9304	88057.76184
12070101	Yenisey Foldbelt Riphean-Craton Margin Riphean	oil	MMBO	5	1	146.9572202	1006.526529	2978.840801	1212.649411	695.4275692	4863.72955	15455.8947	6053.690542	39.76696295	282.2653216	957.9036293	362.3764891	MMBO	51.89812274	264.1846289	1115.977917	374.0929555
12070101	Yenisey Foldbelt Riphean-Craton Margin Riphean	gas	BCFG	30	1	NA	NA	NA	NA	1108.688842	9283.655311	26349.97615	10929.30454	48.63157712	406.5582146	1231.815954	491.6171267	BCFG	380.8014228	2039.173159	7569.200735	2709.318858
12100101	Baikal-Patom Foldbelt Riphean-Craton Margin Vendian	oil	MMBO	5	1	375.9637862	1421.589565	3487.485469	1610.909579	1760.792592	6911.111048	18244.13121	8051.878338	98.94263896	401.6576753	1139.466115	482.3695807	MMBO	94.48829751	335.4218683	1205.360204	443.6255014
12100101	Baikal-Patom Foldbelt Riphean-Craton Margin Vendian	gas	BCFG	30	1	NA	NA	NA	NA	14961.01077	37807.94949	61776.1798	37986.93402	640.9121239	1648.962815	2988.657931	1711.261868	BCFG	1732.699642	4392.148734	10160.4995	4953.931701
13220101	Onshore and Offshore Northeastern Shelf	oil	MMBO	5	1	673.1277251	2356.344307	5224.705769	2581.749011	3279.093698	11664.11065	26847.55339	12902.9776	183.2256657	677.961342	1688.405959	774.3913088	MMBO	134.6520178	423.4455485	1265.93571	520.4375744
13220101	Onshore and Offshore Northeastern Shelf	gas	BCFG	30	1	NA	NA	NA	NA	10736.35834	40858.50756	90439.17601	44548.39078	520.134268	2000.655495	4679.676653	2224.911509	BCFG	1972.63751	6830.423092	19601.7179	8216.940652
