Province Code	Province Name	Onshore or Offshore	Assessment Unit Code	Assessment Unit Name	Field Type	Percent of Assessed Volume Allocated to this Area	Units for Minimum Field Size	Minimum Field Size	Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
1112	South Caspian Basin	offshore	NA	offshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	30182.03146	107561.3344	221994.4617	114632.8468	1163.154739	4302.686076	9579.987783	4702.537654
1112	South Caspian Basin	NA	NA	total	oil	NA	NA	NA	1	4021.659057	14610.45051	31063.38273	15724.87672	12452.42862	47807.17492	110766.2438	52956.27363	698.1352914	2786.701603	6964.608075	3174.568139
1112	South Caspian Basin	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	31628.98181	112900.2386	233246.3771	120353.8835	1219.241451	4518.419431	10072.43875	4940.148064
1150	North Ustyurt Basin	onshore	NA	onshore total	oil	NA	NA	NA	1	85.16439065	378.6467065	1062.628127	450.8032928	29.69281152	115.0129925	311.8664887	135.7782412	1.45001887	5.577047886	15.8280859	6.720384792
1150	North Ustyurt Basin	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	610.2840904	7266.837653	19000.73544	8019.512197	16.82748845	286.627207	819.5666271	326.6420863
1150	North Ustyurt Basin	offshore	NA	offshore total	oil	NA	NA	NA	1	82.75248535	414.2536223	1226.44306	502.9115053	11.19835475	53.32265272	159.3730046	65.09388042	0.311636782	1.417373549	4.356454888	1.758707907
1150	North Ustyurt Basin	offshore	NA	offshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	69.69818303	2304.305505	6258.863911	2549.637143	1.921802303	95.42129793	280.5684193	109.1076299
1150	North Ustyurt Basin	NA	NA	total	oil	NA	NA	NA	1	167.916876	792.9003287	2289.071187	953.714798	40.89116627	168.3356452	471.2394934	200.8721216	1.761655652	6.994421435	20.18454079	8.479092699
1150	North Ustyurt Basin	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	679.9822735	9571.143158	25259.59935	10569.14934	18.74929076	382.0485049	1100.135046	435.7497163
1154	Amu-Darya Basin	onshore	NA	onshore total	oil	NA	NA	NA	1	92.70119734	252.9001346	506.563379	270.2741366	498.5410627	1426.261144	3198.325459	1581.898146	27.44623883	83.70370444	201.8393696	94.84365538
1154	Amu-Darya Basin	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	46336.15996	150583.8568	317319.2517	162068.4924	1022.983281	3507.646246	8127.389975	3900.635373
1154	Amu-Darya Basin	offshore	NA	offshore total	oil	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
1154	Amu-Darya Basin	offshore	NA	offshore total	gas	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
1154	Amu-Darya Basin	NA	NA	total	oil	NA	NA	NA	1	92.70119734	252.9001346	506.563379	270.2741366	498.5410627	1426.261144	3198.325459	1581.898146	27.44623883	83.70370444	201.8393696	94.84365538
1154	Amu-Darya Basin	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	46336.15996	150583.8568	317319.2517	162068.4924	1022.983281	3507.646246	8127.389975	3900.635373
1174	West Siberian Basin	onshore	NA	onshore total	oil	NA	NA	NA	1	16531.60136	48027.98137	98535.8191	51725.38364	31619.67671	96076.14581	214843.0828	106199.687	1750.749593	5596.638353	13597.86206	6367.762708
1174	West Siberian Basin	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	34621.50236	119380.2362	274941.9645	132859.0405	821.8109697	2923.383832	7409.858234	3366.122987
1174	West Siberian Basin	offshore	NA	offshore total	oil	NA	NA	NA	1	485.0024549	3030.707905	8172.716084	3509.793552	2551.599575	16234.78652	46717.48119	19317.67999	144.4647165	946.2410615	2913.224739	1159.519717
1174	West Siberian Basin	offshore	NA	offshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	104320.517	350275.278	778939.459	384557.3355	2416.65728	8503.305725	20509.59574	9579.361713
1174	West Siberian Basin	NA	NA	total	oil	NA	NA	NA	1	17016.60382	51058.68928	106708.5352	55235.17719	34171.27628	112310.9323	261560.564	125517.367	1895.21431	6542.879415	16511.0868	7527.282425
1174	West Siberian Basin	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	138942.0194	469655.5142	1053881.423	517416.376	3238.46825	11426.68956	27919.45398	12945.4847
1207	Baykit Arch	onshore	NA	onshore total	oil	NA	NA	NA	1	146.9572202	1006.526529	2978.840801	1212.649411	695.4275692	4863.72955	15455.8947	6053.690542	39.76696295	282.2653216	957.9036293	362.3764891
1207	Baykit Arch	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	1108.688842	9283.655311	26349.97615	10929.30454	48.63157712	406.5582146	1231.815954	491.6171267
1207	Baykit Arch	offshore	NA	offshore total	oil	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
1207	Baykit Arch	offshore	NA	offshore total	gas	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
1207	Baykit Arch	NA	NA	total	oil	NA	NA	NA	1	146.9572202	1006.526529	2978.840801	1212.649411	695.4275692	4863.72955	15455.8947	6053.690542	39.76696295	282.2653216	957.9036293	362.3764891
1207	Baykit Arch	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	1108.688842	9283.655311	26349.97615	10929.30454	48.63157712	406.5582146	1231.815954	491.6171267
1209	Angara-Lena Terrace	onshore	NA	onshore total	oil	NA	NA	NA	1	56.39456792	213.2384347	523.1228203	241.6364369	264.1188887	1036.666657	2736.619682	1207.781751	14.84139584	60.24865129	170.9199172	72.3554371
1209	Angara-Lena Terrace	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	3740.252692	9451.987373	15444.04495	9496.733504	160.228031	412.2407037	747.1644827	427.8154671
1209	Angara-Lena Terrace	offshore	NA	offshore total	oil	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
1209	Angara-Lena Terrace	offshore	NA	offshore total	gas	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
1209	Angara-Lena Terrace	NA	NA	total	oil	NA	NA	NA	1	56.39456792	213.2384347	523.1228203	241.6364369	264.1188887	1036.666657	2736.619682	1207.781751	14.84139584	60.24865129	170.9199172	72.3554371
1209	Angara-Lena Terrace	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	3740.252692	9451.987373	15444.04495	9496.733504	160.228031	412.2407037	747.1644827	427.8154671
1210	Nepa-Botuoba Arch	onshore	NA	onshore total	oil	NA	NA	NA	1	281.9728396	1066.192173	2615.614101	1208.182184	1320.594444	5183.333286	13683.09841	6038.908754	74.20697922	301.2432564	854.5995862	361.7771855
1210	Nepa-Botuoba Arch	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	9425.436785	23819.00818	38918.99327	23931.76843	403.774638	1038.846573	1882.854496	1078.094977
1210	Nepa-Botuoba Arch	offshore	NA	offshore total	oil	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
1210	Nepa-Botuoba Arch	offshore	NA	offshore total	gas	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
1210	Nepa-Botuoba Arch	NA	NA	total	oil	NA	NA	NA	1	281.9728396	1066.192173	2615.614101	1208.182184	1320.594444	5183.333286	13683.09841	6038.908754	74.20697922	301.2432564	854.5995862	361.7771855
1210	Nepa-Botuoba Arch	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	9425.436785	23819.00818	38918.99327	23931.76843	403.774638	1038.846573	1882.854496	1078.094977
1211	Cis-Patom Foredeep	onshore	NA	onshore total	oil	NA	NA	NA	1	37.59637862	142.1589565	348.7485469	161.0909579	176.0792592	691.1111048	1824.413121	805.1878338	9.894263896	40.16576753	113.9466115	48.23695807
1211	Cis-Patom Foredeep	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	1795.321292	4536.953939	7413.141576	4558.432082	76.90945487	197.8755378	358.6389517	205.3514242
1211	Cis-Patom Foredeep	offshore	NA	offshore total	oil	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
1211	Cis-Patom Foredeep	offshore	NA	offshore total	gas	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
1211	Cis-Patom Foredeep	NA	NA	total	oil	NA	NA	NA	1	37.59637862	142.1589565	348.7485469	161.0909579	176.0792592	691.1111048	1824.413121	805.1878338	9.894263896	40.16576753	113.9466115	48.23695807
1211	Cis-Patom Foredeep	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	1795.321292	4536.953939	7413.141576	4558.432082	76.90945487	197.8755378	358.6389517	205.3514242
