Sort Order	Code	Name	Contact					
329	40610201	Romania Flysch Zone	M. J. Pawlewicz
330	40610202	Romania Ploiesti Zone	M. J. Pawlewicz
331	4068	Provence Basin	
332	406801	Pre-Messinian	
333	40680101	Subsalt	M. J. Pawlewicz
334	5	North America	
335	5200	East Greenland Rift Basins	
336	520001	Permian/Upper Jurassic Composite	
337	52000101	Northeast Greenland Shelf Rift Systems	M. E. Henry
338	5215	Labrador-Newfoundland Shelf	
339	521501	Egret-Hibernia	
340	52150101	Jeanne d'Arc	L. B. Magoon
341	521502	Mesozoic Composite	
342	52150201	Graben Systems Exclusive of Jeanne d'Arc	L. B. Magoon
343	5243	Alberta Basin	
344	524301	Keg River-Keg River	
345	52430101	Keg River Gas	M. E. Henry
346	52430102	Keg River Oil and Gas	M. E. Henry
347	524302	Duvernay-Leduc	
348	52430201	Leduc Gas	M. E. Henry
349	52430202	Leduc Oil and Gas	M. E. Henry
350	524303	Exshaw-Rundle	
351	52430301	Exshaw-Rundle Gas	M. E. Henry
352	52430302	Exshaw-Rundle Oil and Gas	M. E. Henry
353	524304	Combined Triassic/Jurassic	
354	52430401	Combined Triassic/Jurassic Gas	M. E. Henry
355	52430402	Combined Triassic/Jurassic Oil and Gas	M. E. Henry
356	524305	Mannville-Upper Mannville	
357	52430501	Mannville Gas	M. E. Henry
358	52430502	Mannville Continuous (Basin-Center) Gas	M. E. Henry
359	524306	Second White Specks-Cardium	
360	52430601	Second White Specks-Cardium Gas	M. E. Henry
361	52430602	Second White Specks-Cardium Oil and Gas	M. E. Henry
362	52430603	Upper Cretaceous Eastern Shallow Gas	M. E. Henry
363	5244	"Williston Basin, Canada"	
364	524401	Yeoman	
365	52440101	Yeoman Oil	M. E. Henry
366	524402	Brightholme	
367	52440201	Brightholme Oil	M. E. Henry
368	524403	Bakken	
369	52440301	Bakken Sandstone	M. E. Henry
370	524404	Lodgepole	
371	52440401	Lodgepole Oil	M. E. Henry
372	5245	Rocky Mountain Deformed Belt	
373	5301	Tampico-Misantla Basin	
374	5302	Veracruz Basin	
375	5304	Saline-Comalcalco Basin	
376	5305	Villahermosa Uplift	
377	530501	Pimienta-Tamabra	
378	53050101	El Abra-Like Reef and Backreef Limestone	L. B. Magoon
379	53050102	Tamabra-Like Debris-Flow-Breccia Limestone Overlying Evaporites	L. B. Magoon
380	53050103	Tamabra-Like Debris-Flow-Breccia Limestone and Overlying Strata	L. B. Magoon
381	53050104	Tamabra-Like Debris-Flow-Breccia Limestone of the Golden Lane	L. B. Magoon
382	53050105	Tamaulipas-Like Basinal Limestone and Tertiary Strata Without Underlying Evaporites	L. B. Magoon
383	53050106	Tamaulipas-Like Basinal Limestone and Tertiary Strata Overlying Evaporites	L. B. Magoon
384	53050107	Tamabra-Like Debris-Flow-Breccia Limestone North of Campeche	L. B. Magoon
385	6	Central and South America 	
386	6021	Guyana-Suriname Basin	
387	602101	Cenomanian-Turonian	
388	60210101	Late Cretaceous-Tertiary Turbidites	C. J. Schenk
389	60210102	Cretaceous Carbonates	C. J. Schenk
