Assessment Unit Code	Assessment Unit Name	Field Type	Resource Type	Units for Minimum Field Size	Minimum Field Size	Assessment Unit Probability	Units for Fractiles	F100	F95	F90	F85	F80	F75	F70	F65	F60	F55	F50	F45	F40	F35	F30	F25	F20	F15	F10	F5	F0
60450101	Sub-Andean Fold and Thrust Belt	oil	oil	MMBO	1	1	MMBO	11.81660202	66.01581376	85.90945812	100.5754821	113.0421915	124.0324252	134.4173651	144.2646112	154.3195704	164.0009562	173.8358366	183.9384877	194.4501014	205.6864013	217.8320148	230.6433444	245.5949589	262.3129587	283.5949485	317.3057326	581.062483
60450101	Sub-Andean Fold and Thrust Belt	oil	gas	MMBO	1	1	BCFG	27.69927366	167.873389	217.6774914	257.1145459	291.5515606	322.3134178	350.9282843	378.6337968	406.5956041	434.728585	463.8039144	494.2928346	526.0262971	560.2373837	596.997688	637.8096534	685.4083809	742.3830154	819.7924099	938.4318276	1813.563489
60450101	Sub-Andean Fold and Thrust Belt	oil	NGL	MMBO	1	1	MMBNGL	1.430829428	9.31041928	12.18320808	14.42990465	16.42056295	18.25957955	19.97150107	21.66564556	23.42749278	25.21398698	27.04749944	28.98461521	31.08121122	33.32047707	35.78257113	38.58697057	41.92260924	45.85848069	51.14447299	59.61314454	147.0551818
60450101	Sub-Andean Fold and Thrust Belt	oil	largest	MMBO	1	1	MMBO	2.258903946	10.21622085	12.33431046	14.0030497	15.47584609	16.88097795	18.28484551	19.72401048	21.1436383	22.70790789	24.32712292	26.03898565	28.0048447	30.16079096	32.69845405	35.638122	39.17183151	43.82324944	50.45287617	61.13084278	84.9701015
60450101	Sub-Andean Fold and Thrust Belt	gas	gas	BCFG	6	1	BCFG	2713.446335	9328.458427	11277.89804	12743.07528	13964.39412	15087.45788	16094.95663	17019.8515	17907.38414	18785.48953	19668.80987	20525.50782	21432.92488	22399.06335	23439.74125	24504.54538	25777.42263	27260.00763	29175.98443	31991.03184	52963.77601
60450101	Sub-Andean Fold and Thrust Belt	gas	liquids	BCFG	6	1	MMBL	83.06327613	320.0558454	391.8211867	446.41646	493.3167467	534.3138524	574.593086	612.5745056	648.7658353	686.9383439	725.3471651	763.7807981	804.3527639	848.2346901	896.055649	948.28306	1010.113039	1080.421704	1175.793503	1324.051882	2709.27282
60450101	Sub-Andean Fold and Thrust Belt	gas	largest	BCFG	6	1	BCFG	245.4381727	988.3498692	1176.181981	1325.87827	1460.227154	1589.388148	1717.259226	1841.810495	1974.231194	2111.780753	2259.364526	2418.401236	2597.702707	2782.525867	3001.653382	3259.749621	3557.859492	3929.007021	4399.069676	5018.650891	5999.574646
60450102	Foreland Basins	oil	oil	MMBO	3	1	MMBO	12.82971203	211.2657483	312.2987972	408.1438128	498.5090561	589.5708569	685.6156588	786.0136177	886.2114683	988.4314454	1098.839955	1213.617507	1335.375434	1465.124642	1603.848511	1754.625085	1930.84309	2151.184329	2420.387679	2841.296104	6580.705072
60450102	Foreland Basins	oil	gas	MMBO	3	1	BCFG	29.96920733	519.5524303	774.2758295	1003.688101	1236.999084	1471.689893	1711.816769	1960.967561	2222.577848	2489.477879	2762.779759	3045.838243	3370.264297	3717.324458	4098.70885	4516.749619	5011.891331	5624.793974	6444.032783	7739.214249	22585.15564
60450102	Foreland Basins	oil	NGL	MMBO	3	1	MMBNGL	1.36183733	29.25648341	44.16023653	57.54191092	71.15128449	84.5825372	98.17520134	112.6038403	128.0639219	143.4766572	160.4447891	177.9104603	197.2728318	218.3267952	241.7679475	268.6797799	300.4736724	340.1447489	395.2430171	481.9026791	1329.293539
60450102	Foreland Basins	oil	largest	MMBO	3	1	MMBO	4.900980121	55.75103293	77.70813474	96.59487146	114.4659459	132.11081	149.4264133	167.4046359	185.7968765	205.6253012	228.1626537	252.5630598	278.9443366	309.067109	345.1817766	388.1288829	443.237453	514.9244897	616.3367945	791.8397791	1199.966375
60450102	Foreland Basins	gas	gas	BCFG	18	1	BCFG	30.74851655	602.1390307	931.1394327	1244.607556	1542.911401	1863.883098	2196.839124	2527.152308	2869.213298	3222.362349	3586.914945	3972.703555	4392.484745	4841.470954	5330.647907	5888.46897	6493.818954	7205.775721	8099.863798	9382.632399	20185.32683
60450102	Foreland Basins	gas	liquids	BCFG	18	1	MMBL	0.82206045	21.42239146	33.14677747	44.31062046	55.01354199	66.26966554	77.94791043	89.67131951	102.0102013	114.5880888	128.2713188	142.6041384	158.42009	175.5145073	194.457098	214.9345207	239.1052108	268.447803	305.9274322	364.4399855	878.8670546
60450102	Foreland Basins	gas	largest	BCFG	18	1	BCFG	22.52425093	182.8729982	257.943597	322.3825957	380.1486044	436.0479652	491.1045138	544.6681835	602.0054742	661.8679619	724.7011848	793.8777402	869.5897621	957.1527574	1056.946048	1179.574208	1325.928192	1524.572295	1814.789798	2290.905235	3599.893664
60450103	Foreland Central Chaco High	oil	oil	MMBO	3	0.6	MMBO	0	0	0	0	0	0	0	0	0	291.0805859	446.4985218	582.0400452	717.6427836	863.9985515	1017.933428	1193.26763	1385.161147	1616.142342	1924.736062	2389.816869	6684.181582
