Total Petroleum System Code	Total Petroleum System Name	Field Type	Total Petroleum System Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
205802	Tanezzuft-Ahnet	gas	1	NA	NA	NA	NA	871.535751	2677.726391	5962.882134	2954.5581	40.13646416	130.1147136	316.2041228	147.740207
205803	Tanezzuft-Sbaa	oil	1	44.96533527	146.1372501	334.4839868	162.4672118	22.9736606	77.97269974	193.5326002	89.30695078	1.290315602	4.546419686	12.2239581	5.366853747
205803	Tanezzuft-Sbaa	gas	1	NA	NA	NA	NA	137.0347946	442.7959199	1359.73925	555.3647304	1.270549061	4.297139046	14.08349902	5.567679691
205804	Tanezzuft-Mouydir	oil	0.4	0	0	53.73007544	12.4820175	0	0	202.8469623	46.75184797	0	0	12.4921538	2.817577027
205804	Tanezzuft-Mouydir	gas	0.4	NA	NA	NA	NA	0	0	1056.064306	244.8686316	0	0	50.76114149	11.50514354
205805	Tanezzuft-Benoud	oil	1	20.69237413	63.61917191	155.6893665	72.47538389	71.98371571	233.0350518	606.7889249	272.1975193	4.006942131	13.65488572	37.92988849	16.32142102
205805	Tanezzuft-Benoud	gas	1	NA	NA	NA	NA	356.6405525	1879.517497	5482.835409	2268.484488	16.32226777	87.9344642	273.0796719	108.8764227
205806	Tanezzuft-Bechar/Abadla	oil	0.4	0	0	66.39402505	15.80063998	0	0	256.1076473	59.16634985	0	0	15.63213881	3.557613387
205806	Tanezzuft-Bechar/Abadla	gas	0.4	NA	NA	NA	NA	0	0	1571.254635	381.5364134	0	0	77.43961789	18.33363138
207101	Sudr-Nubia	oil	1	818.3838161	2415.232765	5057.001716	2607.917103	844.4711477	3445.187628	9398.199236	4059.239387	43.33376991	197.134704	562.2355625	236.2877092
207101	Sudr-Nubia	gas	1	NA	NA	NA	NA	776.5050555	5130.804389	14908.61445	6132.643774	32.06172378	207.4935569	598.7164914	247.7549658
207102	Maqna	oil	1	729.6653327	2548.992489	4713.570167	2579.086412	1621.31032	5670.575607	11367.392	5905.980559	96.09992231	313.3559574	620.2792265	327.7014888
207102	Maqna	gas	1	NA	NA	NA	NA	12056.14855	43247.1772	80074.72757	43914.19559	695.0240547	2448.414005	4735.730913	2532.562195
311501	Lucaogou-Karamay/Ulho/Pindequan	oil	1	117.7875924	422.7850283	962.5169396	467.2495921	80.51395049	304.1900877	755.7312993	346.4066793	4.506653364	17.73132051	47.49656701	20.76917172
311501	Lucaogou-Karamay/Ulho/Pindequan	gas	1	NA	NA	NA	NA	0	0	0	0	0	0	0	0
311502	Jurassic Coal-Jurassic/Tertiary	oil	1	24.08637612	84.49754142	208.6092409	96.15357893	11.2195875	40.904736	109.0650172	48.05396487	0.626792769	2.396909588	6.831482364	2.882649585
311502	Jurassic Coal-Jurassic/Tertiary	gas	1	NA	NA	NA	NA	272.3574492	844.5251659	1722.767689	901.7037083	11.09024507	36.1171687	80.42555857	39.69804241
312701	Shahejie-Shahejie/Guantao/Wumishan	oil	1	1470.149736	4039.210671	8553.20291	4411.731954	824.9525915	2349.729943	5412.999407	2633.084039	45.33299251	137.4546283	340.7709578	157.9647014
312701	Shahejie-Shahejie/Guantao/Wumishan	gas	1	NA	NA	NA	NA	1350.889422	5211.447147	12690.42753	5880.774643	55.62692931	222.9972446	587.5953625	259.2286897
